name,ticker,sentiment_score,_match_key,reglementary_score,dependance_score,recommandation
AbbVie,ABBV,0.6259,symbol,Low,Moderate,"As a biopharmaceutical company, AbbVie faces relatively low direct regulatory risk from the EU consumer directives. AbbVie likely has some dependence on international suppliers for raw materials and manufacturing of pharmaceutical products. Maintain position in ABBV. Monitor for potential supply chain disruptions but overall risk is relatively low."
Procter & Gamble,PG,0.535175,symbol,Moderate,High,"Article 23 ter prohibiting misleading product review claims is relevant for P&G's consumer product brands. However, overall risk is moderate. P&G has a complex global supply chain and likely high dependence on suppliers worldwide for raw materials and manufacturing. Maintain position but closely monitor for supply chain disruption risks given P&G's global sourcing footprint. Consider reducing exposure if geopolitical tensions escalate."
Bank of America,BAC,0.5234875,symbol,Low,Low,"As a financial services company, Bank of America faces low direct regulatory risk from the EU consumer directives. Bank of America has a diversified global footprint with likely low supply chain dependence for its services business model. Maintain position in BAC as both regulatory and dependence risks are low."
Chevron Corporation,CVX,0.598425,symbol,Low,High,"As an integrated oil and gas company, Chevron faces relatively low direct regulatory risk from the EU consumer directives. Chevron has significant global operations across the oil/gas value chain and likely high dependence on suppliers worldwide. Maintain position but monitor for supply chain disruption risks given Chevron's complex global supply chain and operations."
Coca-Cola Company (The),KO,0.540375,symbol,Moderate,High,"Article 23 ter prohibiting misleading product review claims is relevant for Coca-Cola's consumer brands. However, overall risk is moderate. Coca-Cola has a vast global bottling and distribution network with likely high dependence on suppliers worldwide. Maintain position but closely monitor for supply chain risks across Coca-Cola's global footprint. Consider reducing exposure if geopolitical tensions escalate."
Advanced Micro Devices,AMD,0.540525,symbol,Low,High,"As a semiconductor company, AMD faces relatively low direct regulatory risk from the EU consumer directives. AMD likely has significant dependence on suppliers in Taiwan and China for semiconductor manufacturing and components. Maintain position but monitor for supply chain risks, especially related to Taiwan/China tensions. Consider reducing exposure if geopolitical situation worsens."
GE Aerospace,GE,0.5125500000000001,symbol,Low,High,"As an industrial conglomerate, GE faces relatively low direct regulatory risk from the EU consumer directives. GE has a vast global supply chain and manufacturing footprint with likely high supplier dependence worldwide, including in China. Maintain position but closely monitor for supply chain disruption risks across GE's global operations. Consider reducing exposure if geopolitical tensions escalate."
T-Mobile US,TMUS,0.5816125,symbol,Low,Moderate,"As a telecommunications provider, T-Mobile faces relatively low direct regulatory risk from the EU consumer directives. T-Mobile likely has some dependence on network equipment suppliers from China and South Korea. Maintain position in TMUS. Monitor for potential supply chain disruptions but overall risk is relatively low."
Cisco,CSCO,0.5608375,symbol,Low,Moderate,"As a networking equipment provider, Cisco faces relatively low direct regulatory risk from the EU consumer directives. Cisco likely has some dependence on contract manufacturers and suppliers globally for its hardware products. Maintain position in CSCO. Monitor for potential supply chain disruptions but overall risk is relatively low."
Philip Morris International,PM,0.589825,symbol,Moderate,High,"Article 23 ter prohibiting misleading product review claims is relevant for PMI's consumer brands. However, overall risk is moderate. PMI has a vast global supply chain and likely high dependence on suppliers worldwide for tobacco, raw materials and manufacturing. Maintain position but closely monitor for supply chain disruption risks across PMI's global sourcing footprint. Consider reducing exposure if geopolitical tensions escalate."
Wells Fargo,WFC,0.4671375,symbol,Low,Low,"As a financial services company focused on the US market, Wells Fargo faces low direct regulatory risk from the EU consumer directives. Wells Fargo's US-centric business model likely has low supply chain dependence. Maintain position in WFC as both regulatory and dependence risks are low."
UnitedHealth Group,UNH,0.5930375,symbol,Low,Low,"As a managed healthcare company primarily focused on the US market, UnitedHealth faces low direct regulatory risk from the EU directives. UnitedHealth's services business model and US focus likely result in low supply chain dependence. Maintain position in UNH as both regulatory and dependence risks are low."
Morgan Stanley,MS,0.5376624999999999,symbol,Low,Low,"As a financial services company, Morgan Stanley faces low direct regulatory risk from the EU consumer directives. Morgan Stanley's global services business model likely has low supply chain dependence. Maintain position in MS as both regulatory and dependence risks are low."
Goldman Sachs,GS,0.5326625,symbol,Low,Low,"As a financial services company, Goldman Sachs faces low direct regulatory risk from the EU consumer directives. Goldman's global services business model likely has low supply chain dependence. Maintain position in GS as both regulatory and dependence risks are low."
Abbott Laboratories,ABT,0.4808624999999999,symbol,Low,Moderate,"As a healthcare company, Abbott faces relatively low direct regulatory risk from the EU consumer directives. Abbott likely has some dependence on international suppliers for raw materials and manufacturing of medical products. Maintain position in ABT. Monitor for potential supply chain disruptions but overall risk is relatively low."
Linde plc,LIN,0.593225,symbol,Low,Moderate,"As an industrial gas company, Linde faces relatively low direct regulatory risk from the EU consumer directives. Linde likely has some dependence on global suppliers for raw materials and manufacturing given its international operations. Maintain position in LIN. Monitor for potential supply chain disruptions but overall risk is relatively low."
Salesforce,CRM,0.612975,symbol,Low,Moderate,"As a cloud software provider, Salesforce faces relatively low direct regulatory risk from the EU consumer directives. Salesforce likely has some dependence on cloud infrastructure providers and hardware suppliers globally. Maintain position in CRM. Monitor for potential supply chain disruptions but overall risk is relatively low."
IBM,IBM,0.4330625,symbol,Low,Moderate,"As an enterprise IT company, IBM faces relatively low direct regulatory risk from the EU consumer directives. IBM likely has some dependence on hardware suppliers and manufacturers globally for its products and services. Maintain position in IBM. Monitor for potential supply chain disruptions but overall risk is relatively low."
McDonald's,MCD,0.5961125,symbol,Moderate,High,"Article 23 ter prohibiting misleading product review claims is relevant for McDonald's food products and marketing. However, overall risk is moderate. McDonald's has a vast global supply chain for food and materials, likely with high dependence on suppliers worldwide. Maintain position but closely monitor for supply chain disruption risks across McDonald's global sourcing footprint. Consider reducing exposure if geopolitical tensions escalate."
American Express,AXP,0.5236125,symbol,Low,Low,"As a financial services company, American Express faces low direct regulatory risk from the EU consumer directives. AmEx's services business model likely has low supply chain dependence. Maintain position in AXP as both regulatory and dependence risks are low."
Walt Disney Company (The),DIS,0.5479875,symbol,Low,Moderate,"As a media and entertainment company, Disney faces relatively low direct regulatory risk from the EU consumer directives. Disney likely has some dependence on international suppliers for products, merchandise and services related to its parks, resorts and consumer products businesses. Maintain position in DIS. Monitor for potential supply chain disruptions but overall risk is relatively low."
RTX Corporation,RTX,0.4218874999999999,symbol,Low,High,"As an aerospace and defense company, Raytheon faces relatively low direct regulatory risk from the EU consumer directives. Raytheon likely has significant dependence on suppliers globally for raw materials and manufacturing across its aerospace and defense products. Maintain position but closely monitor for potential supply chain disruptions given Raytheon's global supplier footprint. Consider reducing exposure if geopolitical tensions escalate."
"Merck & Co,",MRK,0.5837,symbol,Low,Moderate,"As a pharmaceutical company, Merck faces relatively low direct regulatory risk from the EU consumer directives. Merck likely has some dependence on international suppliers for raw materials and manufacturing of pharmaceutical products. Maintain position in MRK. Monitor for potential supply chain disruptions but overall risk is relatively low."
AT&T,T,0.48595,symbol,Low,Moderate,"As a telecommunications provider focused on the US market, AT&T faces relatively low direct regulatory risk from the EU consumer directives. AT&T likely has some dependence on network equipment suppliers globally, including from higher risk regions. Maintain position in T. Monitor for potential supply chain disruptions but overall risk is relatively low."
PepsiCo,PEP,0.5812125,symbol,Moderate,High,"Article 23 ter prohibiting misleading product review claims is relevant for PepsiCo's consumer brands. However, overall risk is moderate. PepsiCo has a vast global supply chain and distribution network with likely high dependence on suppliers worldwide. Maintain position but closely monitor for supply chain disruption risks across PepsiCo's global sourcing footprint. Consider reducing exposure if geopolitical tensions escalate."
Intuit,INTU,0.596275,symbol,Low,Low,"As a financial software company, Intuit faces relatively low direct regulatory risk from the EU consumer directives. Intuit's software-focused business model likely has low supply chain dependence. Maintain position in INTU as both regulatory and dependence risks are low."
"Caterpillar Inc,",CAT,0.587975,symbol,Low,High,"As a manufacturer of construction and mining equipment, Caterpillar faces relatively low direct regulatory risk from the EU consumer directives. Caterpillar has a vast global supply chain and manufacturing footprint with likely high dependence on suppliers worldwide, including higher risk regions. Maintain position but closely monitor for supply chain disruption risks across Caterpillar's global operations. Consider reducing exposure if geopolitical tensions escalate."
Uber,UBER,0.4135125,symbol,Moderate,Moderate,"Article 23 ter prohibiting misleading product review claims could be relevant for Uber's ride-hailing and delivery services. However, overall risk is moderate. Uber likely has moderate dependence on suppliers globally for its operations across mobility, delivery and freight segments. Maintain position in UBER but monitor for regulatory developments around consumer reviews as well as potential supply chain disruptions."
