name,ticker,sentiment_score,_match_key,reglementary_score,dependance_score,recommandation
JPMorgan Chase,JPM,0.624675,symbol,Moderate,Moderate,"JPMorgan's AI capabilities in areas like fraud detection, risk management, and customer service could be classified as high-risk under Articles 6 and 8-15, requiring conformity assessments, risk management, data governance, and human oversight controls. While JPMorgan's core financial services may not be heavily AI-driven currently, the increasing adoption of AI in areas like risk management, customer service, and decision-making could expose the bank to regulatory risks. Monitor regulatory developments and ensure compliance for any high-risk AI applications. Leverage JPMorgan's existing risk management and governance frameworks to address AI risks. Explore opportunities in AI-enabled financial services and products."
Walmart,WMT,0.6501625,symbol,,,
Oracle Corporation,ORCL,0.6250625,symbol,,,
"Visa Inc,",V,0.625,symbol,,,
Lilly (Eli),LLY,0.625,symbol,,,
Mastercard,MA,0.625,symbol,,,
Netflix,NFLX,0.625,symbol,,,
ExxonMobil,XOM,0.6221625,symbol,,,
Costco,COST,0.625,symbol,,,
Palantir Technologies,PLTR,0.62135,symbol,,,
Johnson & Johnson,JNJ,0.5819625,symbol,,,
Home Depot (The),HD,0.5869,symbol,,,
AbbVie,ABBV,0.625,symbol,,,
Procter & Gamble,PG,0.625,symbol,,,
Bank of America,BAC,0.3314875,symbol,,,
Chevron Corporation,CVX,0.625,symbol,,,
Coca-Cola Company (The),KO,0.625,symbol,,,
Advanced Micro Devices,AMD,0.624825,symbol,,,
GE Aerospace,GE,0.0082625,symbol,,,
T-Mobile US,TMUS,0.625,symbol,,,
Cisco,CSCO,0.625,symbol,,,
Philip Morris International,PM,0.625,symbol,,,
Wells Fargo,WFC,0.625,symbol,,,
UnitedHealth Group,UNH,0.6361125,symbol,,,
Morgan Stanley,MS,0.4072,symbol,,,
Goldman Sachs,GS,0.625,symbol,,,
Abbott Laboratories,ABT,0.625,symbol,,,
Linde plc,LIN,0.625,symbol,,,
Salesforce,CRM,0.625,symbol,,,
IBM,IBM,0.625,symbol,,,
McDonald's,MCD,0.625,symbol,,,
American Express,AXP,0.625,symbol,,,
Walt Disney Company (The),DIS,0.625,symbol,,,
RTX Corporation,RTX,0.625,symbol,,,
"Merck & Co,",MRK,0.6251625000000001,symbol,,,
AT&T,T,0.625,symbol,,,
PepsiCo,PEP,0.3762375,symbol,,,
Intuit,INTU,0.625,symbol,,,
"Caterpillar Inc,",CAT,0.625,symbol,,,
Uber,UBER,0.625,symbol,,,
